installment_band,orders,gmv,payment_value,aov,order_share
1,23312,1923019.72,2346322.53,82.49055078929307,0.32101791542158387
2-3,21961,2495672.63,2963880.12,113.6411197122171,0.3024139687960451
4-5,11878,1764855.59,2050383.36,148.58188162990402,0.16356600889574355
6-9,10037,2194107.63,2472258.51,218.6019358374016,0.13821451686197828
10+,5431,2020773.41,2231454.34,372.0812760081016,0.0747875900246492
