delivery_band,orders,review_score,bad_review_rate
0-7,25925,4.418257794921247,0.0744069431051109
8-14,39896,4.3122994786444755,0.08910667736113896
15-21,17523,4.14001597899903,0.11596187867374308
22-30,7832,3.6064010895471568,0.24297752808988765
31+,4384,2.24110401459854,0.6325273722627737
