seller_id,gmv,orders,late_rate,review_score,gmv_share,cumulative_gmv_share
4869f7a5dfa277a7dca6462dcf3b52b2,226987.93,1124,0.11565836298932385,4.150537634408602,0.017220807434905876,0.017220807434905876
53243585a1d6dc2643021fd1853d8905,217940.44,348,0.04310344827586207,4.19364161849711,0.01653440493297885,0.03375521236788473
4a3ca9315b744ce9f8e9374361493884,196882.12,1772,0.1100451467268623,3.8531089560752996,0.01493678133412658,0.04869199370201131
fa1c13f2614d7b5c4749cbc52fecda94,190917.13999999998,578,0.10207612456747404,4.372822299651568,0.014484238452515804,0.06317623215452711
7c67e1448b00f6e969d365cea6b010ab,186570.05,973,0.10071942446043165,3.4958634953464323,0.014154439419623592,0.0773306715741507
7e93a43ef30c4f03f38b393420bc753a,164582.49,318,0.05660377358490566,4.3627760252365935,0.012486317521144501,0.0898169890952952
da8622b14eb17ae2831f4ac5b9dab84a,159816.87,1311,0.07627765064836003,4.178544061302682,0.012124766031036918,0.10194175512633212
7a67c85e85bb2ce8582c35f2203ad736,139658.69,1145,0.059388646288209605,4.274846086191733,0.010595433013117547,0.11253718813944967
1025f0e2d44d7041d6cf58b6550e0bfa,138208.56,910,0.1010989010989011,4.008869179600887,0.010485416548869513,0.12302260468831919
955fee9216a65b617aa5c0531780ce60,131836.71,1261,0.07771609833465504,4.201117318435754,0.01000200581485337,0.13302461050317255
6560211a19b47992c3666cc44a7e94c0,120702.83,1819,0.06432105552501374,3.979501385041551,0.009157315951901848,0.14218192645507438
46dc3b2cc0980fb8ec44634e21d2718e,120566.48,494,0.06680161943319839,4.288343558282208,0.009146971538021562,0.15132889799309596
7d13fca15225358621be4086e1eb0964,112436.18000000001,558,0.12186379928315412,4.0414414414414415,0.008530153142928857,0.1598590511360248
5dceca129747e92ff8ef7a997dc4f8ca,111126.73,322,0.062111801242236024,4.012578616352202,0.008430809595033435,0.16828986073105823
620c87c171fb2a6dd6e8bb4dec959fc6,107573.9,699,0.10300429184549356,4.291486291486292,0.008161268385159603,0.17645112911621783
1f50f920176fa81dab994f9023523100,106655.70999999999,1399,0.10578984989278056,4.140602582496413,0.008091608411703498,0.18454273752792133
cc419e0650a3c5ba77189a1882b7556a,101090.95999999999,1651,0.06117504542701393,4.151993523578223,0.0076694296281294445,0.19221216715605077
a1043bafd471dff536d0c462352beb48,99309.23,702,0.05698005698005698,4.275714285714286,0.007534255792097745,0.1997464229481485
3d871de0142ce09b7081e2b9d1733cb1,93407.4,1064,0.05921052631578947,4.1918328584995255,0.007086503887652647,0.20683292683580115
edb1ef5e36e0c8cd84eb3c9b003e486d,79144.9,165,0.07878787878787878,4.442424242424242,0.0060044561944544005,0.21283738303025554
ccc4bbb5f32a6ab2b7066a4130f114e3,72926.72,184,0.07608695652173914,4.3224043715847,0.0055327038842078475,0.21837008691446338
f7ba60f8c3f99e7ee4042fdef03b70c4,68070.0,218,0.1559633027522936,4.220183486238532,0.005164240944855715,0.2235343278593191
fe2032dab1a61af8794248c8196565c9,65689.71,293,0.08873720136518772,4.387543252595155,0.00498365638368882,0.2285179842430079
