product_category,gmv,orders,freight,late_rate,review_score,bad_review_rate,aov,freight_share,gmv_share,cumulative_gmv_share
health_beauty,1229557.5,8610,178383.9,0.09053279558480153,4.193058375182534,0.12383801688214553,142.80574912891987,0.12669838389580704,0.09328237381452077,0.09328237381452077
watches_gifts,1163465.91,5491,98073.5,0.0828634888091577,4.071244192049561,0.1481672689726381,211.88597887452192,0.07774113057633293,0.08826822815286929,0.18155060196739006
bed_bath_table,1022955.77,9267,201646.91,0.08405664687071722,3.924374018294373,0.18063383535064215,110.38693967842883,0.1646631297589517,0.07760819850463353,0.2591588004720236
sports_leisure,952840.4,7513,164592.47,0.07428978961131583,4.165231431646932,0.1303671809592154,126.82555570344736,0.14729517487703755,0.07228878224757891,0.3314475827196025
computers_accessories,888055.59,6518,143806.34,0.07770934346743547,3.9869668246445498,0.16982622432859398,136.24663853942926,0.13936587426963218,0.06737377756994267,0.3988213602895452
furniture_decor,706237.17,6258,167927.39,0.08499073502161829,3.9561501996007986,0.17914171656686625,112.85349472674977,0.19210043244031766,0.053579828266387915,0.4524011885559331
housewares,614341.62,5734,143429.13,0.06501547987616099,4.109727164887307,0.14131079478054567,107.14014998256016,0.1892777334041991,0.04660802333087983,0.4990092118868129
cool_stuff,609158.0,3552,81286.01,0.06763675559148477,4.195002715915264,0.11841390548614883,171.4971846846847,0.11773005315811197,0.04621475959286642,0.5452239714796794
auto,577838.39,3802,90370.21,0.08303074316146211,4.116964067465167,0.13810804204351015,151.9827432930037,0.13524251259262454,0.04383864658656537,0.5890626180662447
garden_tools,469135.4,3443,96753.52,0.07975604034717335,4.08417945690673,0.14923258559622196,136.25774034272436,0.17097616966948212,0.03559171795741536,0.62465433602366
toys,467179.98,3782,76075.02,0.07465667915106117,4.2105858687452855,0.12119688207191351,123.52722897937599,0.14003556340944862,0.03544336684784594,0.660097702871506
baby,399050.67,2800,66159.43,0.08818579602827331,4.078188602442334,0.14925373134328357,142.51809642857143,0.14221408778528238,0.030274626253652202,0.6903723291251582
perfumery,385315.55,3060,52540.88,0.07399577167019028,4.218939393939394,0.13060606060606061,125.92011437908496,0.11999567986246085,0.02923258909945055,0.7196049182246088
telephony,309631.94,4086,69236.43,0.08344640434192672,3.9943130118289356,0.155368516833485,75.77874204601076,0.18274534239952517,0.02349072928431185,0.7430956475089207
office_furniture,266853.43,1248,66770.38,0.08904933814681107,3.519102486355367,0.25288053365676166,213.82486378205127,0.2001367348451539,0.02024526824564695,0.7633409157545676
stationery,223788.69,2264,45786.36,0.08029197080291971,4.245818033455732,0.11587107303141575,98.8465945229682,0.16984643052092543,0.01697809190382874,0.7803190076583963
computers,218684.14,177,9665.62,0.06532663316582915,4.219387755102041,0.11734693877551021,1235.503615819209,0.04232813732758029,0.016590826939599814,0.7969098345979961
pet_shop,211005.96,1684,38832.38,0.06145833333333333,4.216640502354788,0.12087912087912088,125.3004513064133,0.1554300272728357,0.016008309361548213,0.8129181439595443
musical_instruments,184315.74,611,17871.38,0.08602150537634409,4.221705426356589,0.11937984496124031,301.66242225859247,0.08839029904575525,0.013983412535469076,0.8269015564950134
small_appliances,182754.12,609,15354.35,0.05927051671732523,4.225114854517611,0.1225114854517611,300.0888669950739,0.07750476292104018,0.013864937701558314,0.8407664941965717
unknown,175901.32,1410,27444.11,0.09312780989081568,3.9310679611650485,0.19546925566343043,124.75270921985816,0.1349630035944255,0.013345038915795023,0.8541115331123666
electronics,154935.94,2516,45667.36,0.09750733137829912,4.066814322628276,0.14839424141749724,61.58026232114467,0.22765009349297843,0.011754466360771385,0.865865999473138
fashion_bags_accessories,148945.19,1812,30420.5,0.06275303643724696,4.1960834181078335,0.11241098677517802,82.19933222958058,0.16960044030717358,0.01129996839631723,0.8771659678694552
consoles_games,144384.01,1011,18928.36,0.07855822550831792,4.136660447761194,0.12220149253731344,142.8130662710188,0.11590279413616986,0.010953927078367223,0.8881198949478224
construction_tools_construction,142108.49,736,20273.52,0.08078602620087336,4.090010976948409,0.14050493962678376,193.08218749999997,0.12485077626517865,0.010781291063164665,0.898901186010987
luggage_accessories,138701.63,1019,30076.49,0.05385329619312906,4.352283317800559,0.08667287977632805,136.11543670264967,0.17820135690574113,0.010522824104072685,0.9094240101150597
home_appliances_2,107953.95,227,10254.57,0.06926406926406926,4.156521739130435,0.12173913043478261,475.5680616740088,0.086749838336526,0.008190101494768716,0.9176141116098284
home_construction,81407.57,483,13614.8,0.08221476510067115,3.95777027027027,0.17398648648648649,168.54569358178054,0.14327994555387324,0.006176117323567029,0.9237902289333955
home_appliances,78832.48,747,14469.3,0.06763925729442971,4.222148246782068,0.10652463382157124,105.53210174029451,0.15508064262010862,0.005980753944476555,0.929770982877872
agro_industry_and_commerce,70566.1,177,5637.2,0.043689320388349516,4.087378640776699,0.13592233009708737,398.6785310734464,0.0739757989483395,0.005353611619491447,0.9351245944973634
furniture_living_room,67350.7,414,17694.37,0.07878787878787878,3.9346938775510205,0.17142857142857143,162.68285024154588,0.20805873873700145,0.005109670083806283,0.9402342645811697
home_confort,58008.450000000004,392,8429.77,0.10256410256410256,3.8548009367681497,0.19672131147540983,147.98073979591837,0.12688133426813664,0.004400905136442125,0.9446351697176117
fixed_telephony,54610.33,207,4431.76,0.044,3.7530364372469633,0.23481781376518218,263.8180193236715,0.07506102849678932,0.004143101251624539,0.9487782709692363
air_conditioning,51974.27,242,6376.67,0.03914590747330961,4.0398550724637685,0.15579710144927536,214.76971074380165,0.10928135862078658,0.003943112284603878,0.9527213832538401
audio,50413.61,346,5658.68,0.12777777777777777,3.830056179775281,0.21629213483146068,145.70407514450866,0.10091758335534362,0.0038247102826500286,0.9565460935364902
small_appliances_home_oven_and_coffee,46589.56,72,2656.34,0.0684931506849315,4.438356164383562,0.0684931506849315,647.0772222222222,0.05394032802730787,0.003534592527615865,0.9600806860641061
kitchen_dining_laundry_garden_furniture,45531.98,241,11540.99,0.043795620437956206,4.033088235294118,0.13602941176470587,188.929377593361,0.20221463855832278,0.0034543575057492506,0.9635350435698554
books_general_interest,45302.15,496,8880.39,0.06529850746268656,4.512195121951219,0.0675422138836773,91.33497983870969,0.16389763196778886,0.00343692108006457,0.96697196464992
construction_tools_lights,39957.0,242,7490.14,0.09966777408637874,4.082191780821918,0.136986301369863,165.11157024793388,0.1578628343036061,0.0030314026066343433,0.9700033672565543
construction_tools_safety,38773.22,159,3730.8,0.0546448087431694,3.967032967032967,0.17582417582417584,243.85672955974843,0.08777522690794894,0.0029415932170985524,0.9729449604736529
industry_commerce_and_business,38139.21,229,7506.57,0.07692307692307693,4.124031007751938,0.13178294573643412,166.54676855895195,0.16445266134131128,0.002893493020221103,0.975838453493874
food,28651.25,440,7047.2,0.09839357429718876,4.261316872427984,0.11728395061728394,65.11647727272727,0.19740913120877798,0.0021736735473967574,0.9780121270412707
market_place,26880.48,269,5091.95,0.04421768707482993,4.037671232876712,0.13356164383561644,99.92743494423792,0.15926065050420002,0.0020393312095398136,0.9800514582508105
costruction_tools_garden,25096.28,190,5187.66,0.07327586206896551,4.116379310344827,0.15517241379310345,132.0856842105263,0.17130069601247394,0.0019039699829523072,0.9819554282337628
art,23657.3,195,3828.23,0.07614213197969544,4.082051282051282,0.14358974358974358,121.31948717948717,0.13928165110878343,0.0017947994315371688,0.9837502276653
fashion_shoes,22971.47,234,4802.41,0.05859375,4.287698412698413,0.10714285714285714,98.16867521367521,0.17291102287472976,0.0017427678263188583,0.9854929954916188
drinks,21529.84,287,5441.27,0.055401662049861494,4.119113573407202,0.12465373961218837,75.01686411149826,0.20174438501047975,0.0016333962283559915,0.9871263917199748
signaling_and_security,21315.05,138,6477.54,0.05583756345177665,4.091836734693878,0.11734693877551021,154.456884057971,0.23306715926799193,0.0016171008366629466,0.9887434925566378
furniture_bedroom,19051.8,90,4327.42,0.07766990291262135,4.252427184466019,0.1262135922330097,211.68666666666667,0.18509685096423234,0.0014453957049096824,0.9901888882615475
books_technical,18702.23,256,4198.84,0.11026615969581749,4.3893129770992365,0.10305343511450382,73.0555859375,0.18334689165178747,0.0014188750099325528,0.99160776327148
costruction_tools_tools,15903.95,97,2030.22,0.05825242718446602,4.444444444444445,0.08080808080808081,163.95824742268042,0.11320401222916922,0.0012065789595260472,0.9928143422310061
food_drink,14942.88,221,4394.89,0.06319702602230483,4.366171003717472,0.06691449814126393,67.61484162895927,0.2272697420643642,0.0011336658253278322,0.9939480080563339
fashion_male_clothing,10427.43,105,2051.66,0.056451612903225805,3.7804878048780486,0.24390243902439024,99.30885714285715,0.164407821403644,0.0007910938879920202,0.9947391019443259
fashion_underwear_beach,9305.95,117,1854.07,0.12598425196850394,4.0476190476190474,0.15873015873015872,79.53803418803419,0.16613500692651087,0.0007060109889933896,0.9954451129333193
