primary_payment_type,orders,gmv,payment_value,avg_installments,order_share,payment_share,aov
credit_card,72619,10398428.98,12064298.86,3.545917735028023,0.7547889534460717,0.7846251686336501,143.1915749321803
boleto,19140,2323387.9,2762300.8,1.0009404388714733,0.1989377514005675,0.17965161143370967,121.38912748171369
voucher,2970,281551.68,341146.39,1.146127946127946,0.030869651079398406,0.022187119772869336,94.79854545454545
debit_card,1482,177658.57,208129.39,1.0,0.015403644073962436,0.013536100159770805,119.87757759784076
