cohort_month,customers,repeat_30d,repeat_60d,repeat_90d,avg_lifetime_gmv
2017-01,718,0.033426183844011144,0.036211699164345405,0.036211699164345405,159.62025069637883
2017-02,1628,0.014127764127764128,0.015356265356265357,0.0171990171990172,147.29020884520884
2017-03,2503,0.01757890531362365,0.01997602876548142,0.024770275669196963,148.47988413903317
2017-04,2257,0.015064244572441293,0.01905183872396987,0.021267168808152416,155.78058484714225
2017-05,3451,0.021732831063459867,0.025499855114459576,0.028397565922920892,145.6124949290061
2017-06,3037,0.01975633849193283,0.024036878498518273,0.02831741850510372,143.0254132367468
2017-07,3753,0.02104982680522249,0.023980815347721823,0.025845989874766852,130.8487929656275
2017-08,4057,0.019965491742666996,0.02563470544737491,0.02785309341878235,139.57347547448853
2017-09,4005,0.020224719101123594,0.02421972534332085,0.02846441947565543,153.29138077403246
2017-10,4328,0.016173752310536044,0.021950092421441775,0.022412199630314232,150.65944547134933
2017-11,7061,0.018127743945616767,0.02096020393711939,0.023226171930321483,140.50404333663786
2017-12,5338,0.011240164855751217,0.013862869988759834,0.017234919445485202,135.16733233420757
2018-01,6843,0.015344147303814117,0.018851380973257344,0.021920210434020166,134.72762677188368
2018-02,6288,0.024173027989821884,0.02719465648854962,0.02989821882951654,131.63026558524172
2018-03,6775,0.015202952029520295,0.01845018450184502,0.01992619926199262,139.77845756457566
2018-04,6582,0.01078699483439684,0.01534487997569128,0.017168034032209054,146.19037222728653
2018-05,6441,0.0104021114733737,0.013351963980748331,0.01614656109299798,147.25720229777986
