purchase_month,gmv,orders,freight,payment_value,late_rate,review_score,bad_review_rate,aov,freight_share,gmv_mom
2017-01,111798.36,750,15684.01,127545.67,0.030666666666666665,4.199055330634278,0.12010796221322537,149.06448,0.12302885489185682,
2017-02,234223.4,1653,37015.92,271298.65,0.03206291591046582,4.202678027997566,0.11077297626293366,141.69594676346037,0.1364695944526037,1.0950521993345879
2017-03,359198.85,2546,55132.1,414369.39,0.05577376276512176,4.187376335575782,0.11238622872971904,141.0836017282011,0.13306295366059429,0.5335737163750505
2017-04,340669.68,2303,50142.72,390952.18,0.07859313938341293,4.137554585152839,0.12794759825327512,147.9243074250977,0.12830381021687132,-0.051584714149279676
2017-05,489338.25,3546,77513.15,567066.73,0.03610719322990127,4.238487777146106,0.10005685048322911,137.99725042301185,0.13674333343800507,0.4364009441638599
2017-06,421923.37,3135,68127.0,490225.6,0.03859649122807018,4.222918675666988,0.10607521697203472,134.58480701754385,0.13902040314753766,-0.13776744409414143
2017-07,481604.52,3872,84694.56,566403.93,0.034349173553719005,4.258415755682805,0.09916710046850599,124.3813326446281,0.14955800387314772,0.14145021168180372
2017-08,554699.7,4193,91215.42,646000.61,0.03315048891008824,4.3115246098439375,0.09387755102040816,132.29184354877174,0.14121889575831573,0.15177428152044747
2017-09,607399.67,4150,93677.82,701169.99,0.052048192771084335,4.267484215638659,0.10199125789218066,146.36136626506024,0.1336197800331601,0.09500630701621082
2017-10,648247.65,4478,102974.48,751140.27,0.05292541313086199,4.205240665766982,0.11021142600089968,144.76276239392587,0.13707594050776964,0.06725057983650196
2017-11,987765.37,7289,166794.16,1153528.05,0.1431119648737651,3.988878143133462,0.1652390163028461,135.51452462614898,0.14446562144786074,0.5237469352954847
2017-12,726033.1900000001,5513,117818.02,843199.17,0.08380192272809722,4.0895440395531955,0.1441127998535067,131.694756031199,0.13961942413994996,-0.264974039330818
2018-01,924645.0,7069,153797.72,1078606.86,0.06563870420144292,4.108726650506203,0.1367460430628832,130.80280096194653,0.14261093069458525,0.2735574802027989
2018-02,826437.13,6555,140399.72,966510.88,0.15987795575896263,3.881717125147277,0.1925618564622714,126.0773653699466,0.14521552421176334,-0.10621143249571452
2018-03,953356.25,7003,167370.45,1120678.0,0.21362273311437954,3.8132556131260795,0.21128382268278642,136.13540625446237,0.1493410034756913,0.15357383567701022
2018-04,973534.09,6798,159730.87,1132933.95,0.05310385407472786,4.2062351895734595,0.11744668246445497,143.2088982053545,0.1409475062213165,0.021165057658141917
2018-05,977544.6900000001,6749,151701.43,1128836.69,0.08238257519632539,4.236239214519488,0.10755727462064861,144.84289376203884,0.1343386772052845,0.004119629750202192
2018-06,856077.86,6099,156124.63,1012090.68,0.013615485564304463,4.306995884773663,0.09991769547325102,140.36364322020003,0.15424248758763676,-0.12425706082041121
2018-07,867953.46,6159,159887.08,1027903.86,0.04483430799220273,4.318085280182976,0.09655285084136579,140.9244130540672,0.1555563083744488,0.013872102708041067
2018-08,838576.64,6351,146981.52,985414.28,0.10392064241851677,4.3103475513428124,0.09541864139020537,132.03851991812314,0.14913530826024513,-0.03384607741525669
